ID,Pregunta,Respuesta Esperada,qwen3_score,qwen3_calidad,deepseek_score,deepseek_calidad,gemma2_score,gemma2_calidad,llama3_score,llama3_calidad,Score Promedio,Ganador,Contexts Recuperados
1,¿Qué se hace en la actividad de desayunos?,"La actividad consiste en que un grupo de voluntarios se reúne en un punto de encuentro y se divide en equipos. Cada equipo recorre una zona de Valencia repartiendo desayunos o cenas a personas sin hogar. Lo más importante no es solo la comida, sino el tiempo que se comparte con ellos, ofreciéndoles conversación y compañía.",0.767,INCOMPLETA,0.590,INCOMPLETA,0.994,CORRECTA,0.903,CORRECTA,0.814,gemma2:27b,8
2,¿Dónde es el punto de encuentro de desayunos?,"El punto de encuentro siempre es la Porta de la Mar de Valencia. Desde ahí se reparten los alimentos por las zonas de Mestalla, el centro, El Carmen o el río entre otros.",0.574,INCOMPLETA,0.606,INCOMPLETA,0.881,CORRECTA,0.880,CORRECTA,0.735,gemma2:27b,7
3,¿A qué hora son los desayunos y las cenas solidarias?,Los desayunos son a las 8 de la mañana y las cenas a las ocho y media de la tarde.,0.657,INCOMPLETA,0.642,INCOMPLETA,0.902,CORRECTA,0.915,CORRECTA,0.779,llama3.3:70b,5
4,¿Cada cuánto se hace la actividad de desayunos?,"Normalmente, la actividad se realiza una vez a la semana, pero lo mejor es que consultes el calendario de la comunidad de WhatsApp o preguntes a un miembro del staff.",0.809,CORRECTA,0.810,CORRECTA,0.841,CORRECTA,0.915,CORRECTA,0.844,llama3.3:70b,8
5,¿Cuánto dura la actividad de desayunos?,"Depende del día, de la cantidad de personas que encontramos en la calle y de la zona por la que se reparta. Normalmente solemos estimar que la actividad dura una hora y media más el posterior desayuno voluntario de los propios participantes que ese se puede alargar lo que ellos quieran.",0.663,INCOMPLETA,0.654,INCOMPLETA,0.450,INCORRECTA,0.677,INCOMPLETA,0.611,llama3.3:70b,3
6,¿Cómo me apunto a desayunos solidarios?,"La actividad se realiza siempre los sábados. Si ese sábado hay actividad, el miércoles se publica por la comunidad de WhatsApp y por redes sociales un formulario para inscribirse.",0.719,INCOMPLETA,0.719,INCOMPLETA,0.998,CORRECTA,1.000,CORRECTA,0.859,llama3.3:70b,3
7,¿Si me apunto un día tengo que ir al resto de desayunos?,No. Los desayunos y cenas solidarios son lo que en DNI llamamos actividades puntuales: son voluntariados a los que te puedes apuntar un día sin la necesidad de que tengas que ir a las próximas actividades.,0.688,INCOMPLETA,0.649,INCOMPLETA,0.881,CORRECTA,0.831,CORRECTA,0.762,gemma2:27b,7
8,¿Puedo ir en el mismo grupo que mi amigo en desayunos?,"Claro. Ya en el propio formulario se te pregunta si vas a venir con algún amigo. Nosotros antes de la actividad hacemos un boceto de los grupos. En la actividad os dividimos por grupos pero no hay ningún problema si os queréis cambiar a otro, simplemente se menciona a un miembro del staff y no hay más problema.",0.739,INCOMPLETA,0.731,INCOMPLETA,0.993,CORRECTA,0.902,CORRECTA,0.841,gemma2:27b,7
9,¿Cómo se compra la comida para desayunos?,"De los desayunos solidarios se hace cargo la asociación, mientras que en las cenas solidarias contactamos con restaurantes que nos ceden la comida de forma gratuita.",0.700,INCOMPLETA,0.498,INCORRECTA,0.754,INCOMPLETA,0.604,INCOMPLETA,0.639,gemma2:27b,6
10,¿Qué se hace en la actividad de coles?,"En actividades de refuerzo escolar vamos a un colegio a ayudar a niños que viven realidades difíciles. Dependiendo de la edad el voluntariado es más de clases enfocadas al repaso de deberes o de conceptos, o a la lectura de cuentos, realización de manualidades, etc.",0.599,INCOMPLETA,0.786,INCOMPLETA,0.923,CORRECTA,0.421,INCORRECTA,0.682,gemma2:27b,5
11,¿Dónde es la actividad de coles?,"Es en el CEIP Antonio Ferrandis de la Coma, Valencia.",0.669,INCOMPLETA,0.719,INCOMPLETA,0.954,CORRECTA,0.485,INCORRECTA,0.707,gemma2:27b,7
12,¿Qué días vais a coles?,"Lunes, martes, miércoles, jueves y viernes de 15:30 a 16:30.",0.597,INCOMPLETA,0.795,INCOMPLETA,0.432,INCORRECTA,0.799,INCOMPLETA,0.656,llama3.3:70b,7
13,¿Cuánto dura la actividad de coles?,"De 15:30 a 16:30, es decir, una hora.",0.585,INCOMPLETA,0.593,INCOMPLETA,0.331,INCORRECTA,0.660,INCOMPLETA,0.542,llama3.3:70b,7
14,¿Qué edad tienen los niños en coles?,Los niños van desde los tres años hasta sexto de primaria. Hay dos grupos de Infantil y tres de primaria. Siempre divididos por edades.,0.800,INCOMPLETA,0.730,INCOMPLETA,0.926,CORRECTA,0.989,CORRECTA,0.861,llama3.3:70b,7
15,¿Cómo vamos hasta la Coma para la actividad de coles?,Organizamos coches desde Valencia o alrededores para que todos los voluntarios tengan modo de ir.,0.611,INCOMPLETA,0.738,INCOMPLETA,0.725,INCOMPLETA,0.531,INCOMPLETA,0.651,deepseek-r1:latest,7
16,¿Quién paga la gasolina para ir a coles?,De la gasolina se encarga la asociación.,0.574,INCOMPLETA,0.720,INCOMPLETA,0.875,CORRECTA,0.950,CORRECTA,0.780,llama3.3:70b,7
17,¿Necesito algún tipo de documentación para ir a coles?,"Sí, para empezar es indispensable tener el certificado de delitos sexuales en vigor, así como rellenar el seguro del voluntario.",0.663,INCOMPLETA,0.807,CORRECTA,0.911,CORRECTA,0.890,CORRECTA,0.818,gemma2:27b,7
18,¿Puedo elegir a qué grupo de niños ir en coles?,"Claro, intentamos que todos los voluntarios estén con el grupo de niños que más les apetezca, siempre priorizando que no haya ningún grupo que se quede vacío.",0.695,INCOMPLETA,0.778,INCOMPLETA,0.894,CORRECTA,0.917,CORRECTA,0.821,llama3.3:70b,7
19,¿Qué otras actividades se hacen relacionadas con niños?,"Además de esta actividad semanal, a lo largo del año hacemos otras actividades puntuales como Llegada de los Reyes en Navidad o como el Día del Niño en verano. Este último consiste en llevar a niños de centros de acogida a Terra Mítica a pasar un gran día.",0.646,INCOMPLETA,0.755,INCOMPLETA,0.946,CORRECTA,0.962,CORRECTA,0.827,llama3.3:70b,7
20,¿Dónde es la actividad de resis?,"En la residencia La Acollida, muy cerca de Blasco Ibáñez en la calle Crevillente 22.",0.691,INCOMPLETA,0.704,INCOMPLETA,0.952,CORRECTA,0.787,INCOMPLETA,0.784,gemma2:27b,7
21,¿Qué días se hace la actividad de resis?,Los miércoles de 17:30 a 18:30.,0.631,INCOMPLETA,0.594,INCOMPLETA,0.996,CORRECTA,0.657,INCOMPLETA,0.719,gemma2:27b,7
22,¿Qué se hace en la actividad de resis?,En este voluntariado vamos a pasar tiempo con los residentes de la Acollida. A través de distintas actividades buscamos llevarles la alegría de los jóvenes.,0.685,INCOMPLETA,0.567,INCOMPLETA,0.730,INCOMPLETA,0.809,CORRECTA,0.698,llama3.3:70b,7
23,¿Qué tipo de actividades se realizan en resis?,"Meriendas, paseos, juegos de mesa, excursiones y muchas más.",0.776,INCOMPLETA,0.687,INCOMPLETA,0.914,CORRECTA,0.826,CORRECTA,0.801,gemma2:27b,7
24,¿Cuál es el objetivo principal de DNI?,"DNI busca despertar a la juventud y dejar el mundo un poquito mejor. Se enfoca en parar, mirar y ayudar al vecino con generosidad y alegría. No pretende irse muy lejos, sino meterse en el día a día de las personas que nos rodean.",0.660,INCOMPLETA,0.692,INCOMPLETA,0.846,CORRECTA,0.644,INCOMPLETA,0.711,gemma2:27b,7
25,¿Qué significa Para-Mira-Ayuda?,"Son las tres palabras que guían la labor de los voluntarios de DNI. En un mundo que avanza a un ritmo frenético, es necesario detenerse (PARAR) para ser conscientes de aquellos que nos rodean, MIRAR con cariño y cercanía, y ofrecer nuestra AYUDA con generosidad y alegría.",0.606,INCOMPLETA,0.438,INCORRECTA,0.631,INCOMPLETA,0.453,INCORRECTA,0.532,gemma2:27b,7
26,¿Cómo se caracteriza el voluntariado de DNI?,"El voluntariado de DNI se caracteriza por ser joven, cercano y comprometido. Se enfoca en repartir ilusión, alegría y conversación, siendo auténticos y sin máscaras ni segundas intenciones. Hacen de lo ordinario un momentazo.",0.671,INCOMPLETA,0.550,INCOMPLETA,0.775,INCOMPLETA,0.809,CORRECTA,0.701,llama3.3:70b,7
